"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CATEGORY";"CONTACTS";"CURRENT_RATING";"DESCRIPTION";"GENDER";"MANUFACTURER";"MAXIMUM_PACKAGE_HEIGHT";"MF";"MOUNT_TYPE";"MP";"MPN";"OPERATING_TEMP";"PACKAGE";"PARTREV";"PART_STATUS";"PRICE";"ROHS_COMPLIANT";"SERIES";"SNAPEDA_PACKAGE_ID";"SNAPEDA_PN";"STANDARD";"SUB-CATEGORY";"TYPE";"VOLTAGE_RATING";
"C1";"100nF";"CAPACITOR_SMD_1206";"C1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"100nF";"CAPACITOR_SMD_1206";"C1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"100nF";"CAPACITOR_SMD_1206";"C1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"100nF";"CAPACITOR_SMD_1206";"C1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"100nF";"CAPACITOR_SMD_1206";"C1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"100nF";"CAPACITOR_SMD_1206";"C1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"100nF";"CAPACITOR_SMD_1206";"C1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"100nF";"CAPACITOR_SMD_1206";"C1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"100nF";"CAPACITOR_SMD_1206";"C1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"100nF";"CAPACITOR_SMD_1206";"C1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
